Name,E ON,DEUTSCHE BANK,BMW,BEIERSDORF,CONTINENTAL,HEIDELBERGCEMENT,HENKEL PREF.,LINDE,RWE,SIEMENS,THYSSENKRUPP,VOLKSWAGEN PREF.,DEUTSCHE LUFTHANSA,ALLIANZ,MUENCHENER RUCK.,BASF,BAYER,COMMERZBANK,K + S,MAN,TUI,GEA GROUP
1986-12-16,445.83,557.22,834.85,426.98,467.98,261.54,125.26,785.72,372.63,527.2,399,91.88,373.22,1251.95,2123.57,367.5,537.13,320.27,517.42,263.3,490.17,143
1986-12-17,448.94,557.92,834.92,427.64,470.04,263.42,127.59,783.68,376.63,528.61,378.36,92.13,370.08,1256.98,2111.39,368.88,542.26,321.84,520.71,258.4,492.92,141.61
1986-12-18,445.94,553.24,820.88,423.84,462.22,263.8,126.04,769.07,371.03,523.68,345.54,91.46,362.72,1251.95,2103.27,365.6,537.78,316.22,521.81,241.69,474,139.27
1986-12-19,450.58,555.97,826.59,425.77,462,266.43,126.56,762.84,380.62,525.09,346.72,91.91,362.74,1262.02,2095.15,365.78,538.17,315.22,525.99,249.4,503.84,138.82
1986-12-22,450.36,551.96,818.2,428.35,461.35,266.44,126.3,756.6,385.42,518.04,341.26,91.03,366.58,1268.72,2095.15,364.37,536.22,314.74,530.58,242.97,514.71,138.41
1986-12-23,457.58,552.66,825.32,429.01,461.93,265.7,127.59,746.18,384.62,520.86,351,90.51,362.78,1282.69,2103.27,365.88,539.99,319.4,536.74,247.47,526.95,134.15
1986-12-24,457.63,552.7,825.39,429.04,461.97,265.72,127.59,746.23,384.62,520.86,351.06,90.52,362.8,1282.69,2103.27,365.93,540.05,319.43,536.74,247.47,526.99,134.17
1986-12-25,457.69,552.73,825.45,429.06,462,265.73,127.59,746.27,384.62,520.86,351.12,90.53,362.82,1282.69,2103.27,365.98,540.12,319.46,536.74,247.47,527.03,134.18
1986-12-26,457.75,552.76,825.52,429.08,462.03,265.74,127.59,746.32,384.62,520.86,351.19,90.54,362.84,1282.69,2103.27,366.03,540.18,319.49,536.74,247.47,527.07,134.19
1986-12-29,456.28,555.48,827,433.57,459.48,267.25,127.85,748.45,388.62,525.79,342.96,90.09,372.36,1283.25,2119.51,367.04,540.25,318.82,531.67,254.54,529.82,135.14
1986-12-30,456.96,552.82,825.66,434.23,465.6,267.26,128.36,748.5,385.42,525.79,343.02,88.44,379.76,1281.58,2151.99,366.68,536.93,319.04,530.58,250.69,527.16,136.09
1986-12-31,457.02,552.85,825.72,434.26,465.63,267.27,128.36,748.54,385.42,525.79,343.08,88.45,379.78,1281.58,2151.99,366.73,536.99,319.07,530.58,250.69,527.2,136.11
1987-01-01,457.08,552.88,825.79,434.28,465.66,267.28,128.36,748.59,385.42,525.79,343.15,88.46,379.8,1281.58,2151.99,366.78,537.06,319.1,530.58,250.69,527.24,136.12
