"","11874.X15.1095","11874.X15.1","11874.X15.515","11874.X15.1053","11874.X15.1092","11874.X15.2","11874.X15.1083","11874.X15.489","11874.X15.85","11874.X15.910","11874.X15.376","11874.X15.909","11874.X15.920","11874.X15.1055","11874.X15.1062","11874.X15.1227","11874.X15.1231","11874.X15.1239","11874.X15.1261","11874.X15.551","11874.X15.696","11874.X15.698","11874.X15.794","11874.X15.959","11874.X15.960","11874.X15.1085","11874.X15.850","11874.X15.1245","11874.X15.1081","11874.X15.1086","11874.X15.1254","11874.X15.1255","11874.X15.1256","11874.X15.1281","11874.X15.487","11874.X15.527","11874.X15.7","11874.X15.848","11874.X15.865","11874.X15.492","11874.X15.1251","11874.X15.1091","11874.X15.1253","11874.X15.1280","11874.X15.15","11874.X15.1262","11874.X15.146","11874.X15.231","11874.X15.293","11874.X15.303","11874.X15.587","11874.X15.73","11874.X15.149","11874.X15.261","11874.X15.248","11874.X15.218","11874.X15.311","11874.X15.304","11874.X15.317","11874.X15.104","11874.X15.110","11874.X15.123","11874.X15.128","11874.X15.134","11874.X15.188","11874.X15.206","11874.X15.212","11874.X15.224","11874.X15.236","11874.X15.243","11874.X15.256","11874.X15.267","11874.X15.275","11874.X15.281","11874.X15.286","11874.X15.297","11874.X15.301","11874.X15.306","11874.X15.308","11874.X15.320","11874.X15.327","11874.X15.338","11874.X15.418","11874.X15.440","11874.X15.450","11874.X15.470","11874.X15.49","11874.X15.584","11874.X15.585","11874.X15.61","11874.X15.68","11874.X15.829","11874.X15.834","11874.X15.99","11874.X15.136","11874.X15.325","11874.X15.412","11874.X15.194","11874.X15.163","11874.X15.295","11874.X15.142","11874.X15.424","11874.X15.322","11874.X15.446","11874.X15.80","11874.X15.181","11874.X15.144","11874.X15.448","11874.X15.55","11874.X15.42"
"35786",0,1,427,0,0,0,0,0,64,13,0,11,10,2,25,117,166,117,71,188,154,44,172,6,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,9,0,0,20,0,0,12,1,0,28,100,1,19,3,0,91,31,4,0,0,96,15,141,8,445,51,0,0,45,2,23,0,28,49,0,0,0,138,1,8,7,0,9,1,23,80,0,63,0,0,9,0,56,18,14,0,74,0,5
"4306262",3,4,1723,0,0,0,0,0,296,292,0,74,103,0,16,262,1,0,8,1409,179,738,1063,95,10,339,0,20,20,4,17,33,56,1,7,58,2,3,41,1,0,0,0,0,0,0,0,0,0,51,0,1,20,1,0,0,2,0,0,15,1,1,1831,21,0,2,0,0,0,1,3,0,0,7,0,0,6,3,52,1,1,0,0,0,0,0,6,0,1,0,7,11,0,0,0,3,0,0,18,1,0,0,0,5,5,0,0,0,0,0
"4454356",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,9,1,0,1,0,3,0,2,1,2,2,8,5,4,3,3,6,3,1,2,4,2,3,3,1,12,1,2,1,1,4,1,8,10,5,5,1,2,1,7,1,1,1,4,4,2,2,1,2,1,1,1,3,1,1,0,0,0,0,0
"297414",0,2,0,0,0,0,1,0,0,14,4,27,17,3,0,10,0,1,1,0,0,0,2,0,0,1,4,1,2,0,0,0,0,4,1,0,0,0,0,7,2,11,1,0,1,2,375,49,627,1,37,2,18,89,82,750,0,1524,853,0,48,462,3,86,340,587,46,574,64,38,1,26,33,414,167,1,26,312,6,658,245,593,1,341,69,77,39,214,549,1873,817,323,51,311,6,883,0,146,95,170,512,684,6,52,32,52,64,39,74,0
"313593",20,1,3,6,3,19,15,4,1,6,77,5,6,0,0,5,0,0,0,0,6,0,0,0,0,7,3,1,12,10,50,23,0,7,17,1,4,3,44,8,7,45,0,61,4,0,1,1,0,1,2,0,0,0,0,6,2,3,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,4,0,5,0,1,0,1,2,4,0,0,41,0,0,0,1,14,11,2,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,2,0,11
"4465907",534,708,407,125,92,414,307,41,97,397,1380,330,322,681,127,89,2995,674,520,14,59,142,36,1267,1133,532,242,718,55,80,383,963,646,969,81,139,121,37,907,125,2584,308,482,894,42,2812,151,85,20,114,121,90,64,13,21,640,46,802,410,106,82,109,161,170,47,41,155,232,173,5,9,145,186,459,122,399,70,11,77,29,41,91,29,719,81,0,49,269,101,895,26,25,616,305,134,137,1293,340,108,197,170,51,100,108,113,24,14,43,48,22
"198869",0,0,0,7,7,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,252,1,6,1,80,0,0,75,0,480,77,89,5,0,5,7,0,14,24,0,21,12,169,0,1,0,4,16,1,454,7,45,0,71,109,50,1,35,4,0,19,3,9,283,110,1,11,72,13,16,0,135,11,42,60,6,12,1,0,80,0,20,53,29
"4454531",46,27,37,0,0,30,1,0,0,1,0,1,0,5,1,9,7,2,79,10,0,2,14,16,1,1,0,59,0,0,0,0,3,1,0,28,0,0,108,0,0,0,0,0,0,2,4,4,1,52,0,0,46,29,131,0,4,1,3,0,0,36,14,26,37,1,4,64,0,280,34,16,0,1,0,220,13,1,49,8,0,0,592,138,21,125,3,28,17,2,0,0,52,0,31,22,19,14,11,1,0,12,3,71,44,0,1,22,3,1
"730906",76,19,13,22,55,5,14,3,9,4,124,4,5,21,2,1,12,3,41,0,3,0,2,2,13,13,21,26,5,7,29,24,2,46,5,3,1,1,81,11,1,26,3,102,19,34,6,50,18,19,11,38,1,27,27,71,23,81,12,2,11,52,0,13,7,16,10,71,0,2,2,7,13,155,6,75,9,15,10,9,51,8,174,156,9,0,0,21,31,90,12,5,0,38,21,12,33,41,44,15,19,0,15,14,19,43,0,2,6,1
"4388068",0,24,4,1,0,0,0,0,22,0,0,0,1,21,0,1,24,1,8,7,9,0,1,0,1,26,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,4,253,0,0,1,0,5,15,4,0,1,3,19,25,0,0,0,11,0,10,13,0,0,0,3,121,2,38,0,0,9,0,3,8,6,0,3,11,0,351,0,17,0,0,2,0,0,0,0,1,12,0,0,0,0,15
