,samples,OTUs,group entry ratio,sparsity GGL,sparsity s/u,sparsity s/i
1,241,831,0.2289,0.0539,0.0532,0.0071
2,7722,303,0.8826,0.0775,0.078,0.2583
3,132,104,0.2418,0.1889,0.1867,0.1434
4,841,796,0.2195,0.061,0.0607,0.0607
5,110,476,0.4165,0.0942,0.094,0.0
6,511,452,0.3197,0.0636,0.063,0.0411
7,396,383,0.0723,0.0753,0.0753,0.0415
8,352,101,0.1059,0.1669,0.1655,0.2057
9,963,101,0.6879,0.1832,0.1814,0.2604
10,184,208,0.0034,0.1272,0.1271,0.0725
11,777,424,0.5101,0.0757,0.0758,0.0758
12,6308,542,0.0833,0.0433,0.0436,0.0939
13,593,597,0.2161,0.0653,0.0647,0.0377
14,752,456,0.4065,0.0837,0.0828,0.1198
15,195,439,0.1599,0.0831,0.0827,0.0079
16,349,189,0.0321,0.113,0.1126,0.0581
17,253,170,0.5307,0.1208,0.1185,0.1185
18,787,274,0.1017,0.0767,0.0752,0.1235
19,865,825,0.2864,0.0595,0.0592,0.0592
20,420,537,0.4078,0.0654,0.0643,0.0476
21,614,534,0.363,0.0627,0.0619,0.0619
22,122,241,0.2641,0.1119,0.1107,0.0
23,292,187,0.9003,0.1288,0.1308,0.079
24,1263,554,0.4982,0.0652,0.0628,0.128
25,921,767,0.3206,0.0413,0.0409,0.0237
26,338,294,0.6035,0.1031,0.1038,0.0576
