,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
V1,2.6954255324168286,0.36278082345930746,-0.362325211780184,0.6851063350972617,-0.760867180721122,-0.5143140015489149,-0.4049543525392807,-0.10409029214307781,0.5490684937888284,-0.13894522358689995,0.7667404544015081,0.2906634742209834,-0.7670987776526703,0.8851116760397075,0.24302089377030092,-0.5172230422437903,0.26434658386906096,-0.2927777419258996,0.01258677458747956,-0.54302589137023,0.8614524037560143,-0.9738333705094406,-0.533234147681706,-0.6406918620370905,-0.17915692034002034,-0.05780265940575577,-1.3420033195807428,0.7890101873646985,0.44165241239659825,0.023963152583457978
V2,0.3627808234593075,1.3833481866896364,-0.38426730091619543,0.09419635479653334,-0.24705834056132922,-0.34006113037813224,-0.03633789911977909,0.20390750811264127,0.12665882602979664,0.11774072685278648,0.6571911421674859,0.06962029155952049,-0.5192772994466607,0.5039582093202842,0.05027538020676451,-0.25529301980487207,0.24802061045246684,0.06027609086698003,0.16463619528291626,-0.17514032984493608,0.12308194390771493,-0.30869723218561185,-0.10447415867005184,-0.14982890406658547,0.08089031232356246,0.04794571688894679,-0.5969238042842364,0.45024662881432775,0.28608337031424547,-0.20946879767368018
V3,-0.36232521178018406,-0.38426730091619543,1.3886991191423252,-0.031191660578829234,0.23010597867713095,0.3720122909514895,0.007393802170907493,-0.2690927932612526,-0.20206110688774745,-0.18067467992482614,-0.698261660918853,-0.058929955683733375,0.5860040547250357,-0.5713503910753962,-0.027269154408451866,0.269831903271126,-0.4161511795281852,0.02544097398043152,-0.21081402729856832,0.18216459723734457,-0.09081046148545806,0.3083003024016145,0.09369109229141283,0.12324162552270189,-0.1283453052037064,-0.05088438766085659,0.6489526616334453,-0.520461952584098,-0.2990644066418501,0.24871348182029002
V4,0.6851063350972618,0.09419635479653336,-0.03119166057882931,1.859958304489101,-0.5810966673072054,-0.1312175186901881,-0.4679852495169082,-0.40396136608760674,0.3609358976881686,-0.27003390175884456,0.5091361757768016,0.3621320621737311,-0.30228329644750546,0.3608293183839519,0.2659271953621056,-0.32763164862991345,0.06030069144554364,-0.37985098846759685,-0.4792785409000168,-0.353890789414332,0.7991884134994183,-0.5633186749989384,-0.4451117324258046,-0.5498566075712465,-0.31551438738807175,-0.1425538277041862,-0.7683163176303137,0.17949716099053825,0.4049611323143349,0.17066491182700722
V5,-0.7608671807211216,-0.24705834056132922,0.2301059786771311,-0.5810966673072053,2.042968023862336,0.3431759149711274,0.2580509391603402,0.13854281922240208,-0.37995480270937215,0.2437131856670517,-0.5609600309505065,-0.42839629909958205,0.7490320092118815,-0.6206843233139688,-0.3678781618717764,0.37419128624611636,-0.24384054372191355,0.3239864155993556,-0.05682379467550612,0.3225359288997013,-0.5736342423563336,0.6760684505338216,0.36486127719236217,0.5874409597927789,-0.007686129643203563,-0.05958600735401703,0.9628591374619792,-0.41958265271905554,-0.5421130884810793,0.22470367502082675
V6,-0.5143140015489148,-0.3400611303781323,0.37201229095148947,-0.13121751869018805,0.3431759149711274,1.9998513798866666,0.09480155321130583,-0.20334114618677276,-0.19614221731545992,-0.07293222742805357,-0.5305846756494161,-0.056936472259490924,0.5719689374655476,-0.5806741352347919,-0.07616178472474204,0.3314967439379491,-0.2421409744800196,0.10847221188765009,-0.1756440735587447,0.2335432588248775,-0.24442334750809805,0.4229247958572769,0.22315753711912073,0.2263740431989183,-0.060205293432180756,-0.06449974833194376,0.7232357119362527,-0.5323203654907579,-0.33410783164752833,0.19825559062173295
V7,-0.4049543525392805,-0.03633789911977912,0.007393802170907546,-0.4679852495169078,0.25805093916034005,0.09480155321130579,1.190086355436516,0.18107302140506237,-0.21240536868497578,0.12077089049523124,-0.17760349840681566,-0.10436249370789898,0.09525752294416913,-0.19130535509811378,-0.08504592300390502,0.1625294990334128,-0.005214048335731281,0.1516620805444033,0.41835318470510346,0.18232359132761852,-0.4252966830942293,0.32294305999841616,0.24503482390713868,0.4383020659190852,0.1526218480679663,0.08389396066231397,0.39620444150510187,-0.15802027171558022,-0.11005976783435935,-0.16094429084816594
V8,-0.10409029214307781,0.2039075081126412,-0.2690927932612526,-0.4039613660876068,0.1385428192224021,-0.20334114618677276,0.18107302140506243,1.6515130024270568,-0.10657931753119801,0.18014019609288096,0.17372342496125606,-0.16691807871549974,-0.21950418515077671,0.1785615905232661,-0.11469514664707912,-0.01749923884192203,0.14852348103160748,0.16863591736290315,0.38654334658115963,0.06786193182884179,-0.3532861868809338,0.08289059770380537,0.14762933193282324,0.1873756200907092,0.24282514837032473,0.3596179146725185,-0.017602527237700383,0.24460570780476212,-0.0081902130811079,-0.25632494673807477
V9,0.5490684937888284,0.12665882602979667,-0.20206110688774745,0.36093589768816847,-0.37995480270937215,-0.19614221731545994,-0.21240536868497584,-0.10657931753119802,1.4361949315211857,-0.14996680084025352,0.3221813481114271,0.1558510805502379,-0.3110800622917186,0.3485483375137506,0.15112273461331144,-0.19541153748017867,0.08312906915842622,-0.1303960829056597,0.06623075443301588,-0.23856249168703098,0.6533587085813601,-0.49681463190200476,-0.25009776628579755,-0.33887060663451446,-0.14297798498110917,-0.006920512051588463,-0.5680849532105753,0.3194197954335394,0.14478321338156125,0.031228535370243587
V10,-0.13894522358689992,0.1177407268527865,-0.18067467992482614,-0.27003390175884456,0.24371318566705177,-0.0729322274280535,0.12077089049523126,0.1801401960928809,-0.14996680084025354,1.5600227829740723,0.09370239895531716,-0.1633330809506128,-0.02968015403393151,0.13185294608964412,-0.20684487885751449,-0.04489920810644885,0.12379052083301331,0.11185511743378786,-0.06517023764000736,-0.004656213836822654,-0.2092893300380155,0.17851901744409462,0.10276812028273401,0.2355022213433172,0.14464142261000135,-0.33429866435955446,-0.0413159718488215,0.1664037152185973,-0.004081577123266707,-0.004884940876595407
V11,0.7667404544015083,0.6571911421674858,-0.6982616609188531,0.5091361757768016,-0.5609600309505065,-0.530584675649416,-0.17760349840681572,0.17372342496125623,0.32218134811142707,0.09370239895531716,1.6203449710662599,0.2444662521197916,-0.9013723315445399,0.8875810679462757,0.16771568557641128,-0.4719989066613309,0.4184727785236644,-0.17146507448992554,0.13321379526532978,-0.37834708810370976,0.4282136142697036,-0.6610460487155855,-0.2981738250774826,-0.40333423142805264,0.02329448398211878,0.024300275470095885,-1.1578425260327991,0.7484832506999803,0.5442437664573412,-0.2694292014907298
