,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
V1,0.07436590841945888,0.009579535421555816,-0.002341335847049717,0.038285991122361265,-0.0415129266297348,-0.027180582167035984,-0.043618328449192445,-0.009598331776550624,0.039550765560420115,-0.02011805953372353,0.043943423011975076,-0.007226619429848889,-0.01720208825611977,0.036802657690056445,-0.00018946573444089923,-0.018034150519313476,-0.00029810620114901224,-0.0022658002611021574,0.028078735357873502,-0.042021573611756374,0.06846911891400354,-0.07448989806431962,-0.03880951738620874,-0.04187692625990149,-0.001718662796738405,-0.010441537045060668,-0.06684627550799462,0.048816987324248946,-0.00955116158889685,0.026288094230981263
V2,0.009579535421555816,0.026275166765953113,-0.03254027931436379,-0.028007732910560086,-0.0024521381731612145,-0.03182138202121834,0.0031646860292121447,0.03357881809754737,-0.0057891559856025655,0.024499168704641344,0.043513830352207135,-0.016358061026214593,-0.03430454584807431,0.027457849065199828,-0.009558136865518123,-0.023459959706515987,0.013441209659464014,-0.005912213195616211,0.010538676865129885,-0.0047332150437318365,-0.004504942984316269,-0.007415381653813826,-0.007289215400331878,0.0030379109020361467,0.021877184895569824,0.00988695609840002,-0.025681383166171433,0.025810666035704425,0.02209365313609109,-0.01969091971924679
V3,-0.002341335847049717,-0.03254027931436379,0.04979960434642378,0.05990373182485894,-0.017268905825982495,0.03239937232151203,-0.009584620506993512,-0.05438311359101768,0.012277930363913512,-0.050186270094061625,-0.058280194293302764,0.025114797221478777,0.04322034600779902,-0.03834265663394975,0.022910581061997604,0.022732866211504974,-0.022563541046359735,-0.007346742310780545,-0.019105179030700175,0.0028659784275733282,0.02643573314186449,0.002359590433260917,-0.0045322355933878344,-0.019441462850184197,-0.03685846881566761,-0.006865815337804246,0.03100435780773077,-0.040402443039980133,-0.015745548234260335,0.022455070406429408
V4,0.038285991122361265,-0.028007732910560086,0.05990373182485894,0.13177298668785206,-0.06643218023430102,0.01950338537825273,-0.017690175228829628,-0.0843291682064469,0.019660467914682157,-0.06956332815553866,-0.03341385269969568,0.04897833985491115,0.0240178541178932,-0.012514999311154172,0.03450564148423036,-0.0075411890978074715,-0.011106394498288636,-0.046996474105440195,-0.08372797290482788,-0.030504216738530477,0.10323172861094382,-0.02688133043480714,-0.039412947584869615,-0.06157355159459001,-0.06572884058954563,-0.025829340369398934,-0.026946910510464786,-0.03256132208289283,0.026343137061402785,0.034471073429351885
V5,-0.0415129266297348,-0.0024521381731612145,-0.017268905825982495,-0.06643218023430102,0.0850271909002792,0.012153909847619222,0.013152915285712611,0.03767631499537163,-0.028742544992766482,0.05541484733502036,-0.02720384573001901,-0.04624784577725831,0.05062197308968812,-0.01945118541555346,-0.05359028997381454,0.004838528731633205,-0.009386685104487815,0.037665992864760696,-0.02620588630463658,0.017854381068034903,-0.04808576137734188,0.054609049351251014,0.02189362125942939,0.07257193509552233,0.0265411827162401,-0.021150578882101756,0.0455758456427907,0.001835156286064702,-0.0433568643949015,0.031649702249800106
V6,-0.027180582167035984,-0.03182138202121834,0.03239937232151203,0.01950338537825273,0.012153909847619222,0.04830920232032123,0.011630666933228407,-0.03458801881530888,-0.0037499883014148415,-0.013320900106125275,-0.04684211801865288,0.029709571858938542,0.029512694767151335,-0.027491816448777507,0.010682284893444251,0.03258657604841448,-0.0036852509930004203,0.009326424077417777,-0.022292030006525094,0.010351388922990302,-0.01371921814853276,0.021299026878382758,0.024419024130612546,0.004185646771068251,-0.024595108460415273,-0.015238659783944786,0.02808990152928031,-0.03228920104792549,-0.01919912739699945,0.014047775995874966
V7,-0.043618328449192445,0.0031646860292121447,-0.009584620506993512,-0.017690175228829628,0.013152915285712611,0.011630666933228407,0.03945064754198997,0.009208716972285388,-0.0330275378457145,0.0246633838313565,-0.0015258185172767626,0.01881298641271552,-0.018066354048511514,-0.001737360644700258,0.0034258642869849933,-0.00216732975878327,0.01907641042460461,-0.014132449248360131,-0.044253915222682384,0.018132638971349122,-0.03409922900533883,0.044850784268520925,0.023527479389895474,0.017051372201000663,-0.002060599793578908,0.0019274769684180853,0.012229913623924152,-0.02322593871553076,0.036090130071869946,-0.029235605531980798
V8,-0.009598331776550624,0.03357881809754737,-0.05438311359101768,-0.0843291682064469,0.03767631499537163,-0.03458801881530888,0.009208716972285388,0.06786108553359907,-0.016025545488354803,0.057538497285436994,0.04740658715524963,-0.042967743478599905,-0.028955410463403677,0.026837831983247438,-0.032697368417098804,-0.01839281414198996,0.013689257139858147,0.019628937382496676,0.03544118499733765,0.008051459973951267,-0.04716703490184905,0.01039759653303819,0.009814300823000296,0.03811929772616209,0.04881433395722249,0.012890127944285356,-0.007192582650455203,0.03805117923405991,0.0001243008875425367,-0.02127514726184982
V9,0.039550765560420115,-0.0057891559856025655,0.012277930363913512,0.019660467914682157,-0.028742544992766482,-0.0037499883014148415,-0.0330275378457145,-0.016025545488354803,0.03640888688943184,-0.033269546849519986,0.006615216677104164,0.0019574514364799588,-0.0024212275050425444,0.004939783928632051,0.015244782299130856,0.012695586665829489,-0.010818156889641065,0.011123486955541875,0.0635007434932488,-0.014006752760210156,0.022469581605845553,-0.051276776786183954,-0.012688568906389393,-0.030932509351726912,-0.002194567349203104,0.007693866263798336,-0.016622387974769223,0.018137579775346198,-0.026528152494915868,0.009389438463107615
V10,-0.02011805953372353,0.024499168704641344,-0.050186270094061625,-0.06956332815553866,0.05541484733502036,-0.013320900106125275,0.0246633838313565,0.057538497285436994,-0.033269546849519986,0.07956630668967944,0.04195817795221071,-0.03061728613770382,-0.017463080182834677,0.03255561813802057,-0.048484935174351,-0.02310041326840227,0.026407383566083114,0.015701702112858994,-0.038146995147061845,-0.0016362301483563223,-0.03385496961645622,0.030694281369211294,0.01582168884832683,0.05045979765898914,0.03424704567222272,-0.020361310898659137,-0.021899774805671804,0.035047979288230224,0.006763610887323515,0.0018623809338453093
