,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
V1,0.6435860401816261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V2,0.0,0.9709542598385654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23721290695157754,0.0,0.0,0.0,0.0,0.0,0.0,-0.09015531270536178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V3,0.0,0.0,1.0801962557767228,0.0,0.0,0.0,0.0,0.0,0.08460798272430892,0.0,0.2441467261783703,0.0,0.0,0.0,0.0,0.0,0.10785550669241756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4,0.0,0.0,0.0,0.9720958788354574,0.0,0.0,0.09378438688699947,0.0,0.0,0.0,-0.2347254517668319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V5,0.0,0.0,0.0,0.0,0.7817248830159746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13813884283434846,0.0,0.0,0.0,0.0,0.0
V6,0.0,0.0,0.0,0.0,0.0,0.6435860401816261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V7,0.0,0.0,0.0,0.09378438688699947,0.0,0.0,1.111599548530787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2018108148170482,0.0,0.0,0.0,0.0,-0.1724183066451131,0.0,0.0,0.0,0.0,0.0,0.0
V8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8289194571733757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18533341699174957,0.0,0.0,0.0,0.0
V9,0.0,0.0,0.08460798272430892,0.0,0.0,0.0,0.0,0.0,0.920082232330139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19188820942420395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8584149837288508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21482894354722476,0.0,0.0,0.0,0.0
V11,0.0,-0.23721290695157754,0.2441467261783703,-0.2347254517668319,0.0,0.0,0.0,0.0,0.0,0.0,1.359671125078406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7516672039497754,0.10808116376814923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10808116376814923,0.7516672039497754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
