"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",-0.0540548823488052,-0.0469925907261437,-0.018887885322084,-0.0477400845167223,-0.0275321837013385,-0.0515020956885304,-0.0541236534654971,-0.0478528069007316,-0.0394745271422988,-0.0487383863025095,-0.0457663703922254,-0.0396824371559965,-0.0436491838076329,-0.0452351183645168,-0.0669206570841616,-0.0514264478129336,-0.0362355424565378,-0.0726552691878146,-0.040285103494997,-0.0429110706516362,-0.0553602931041066,-0.0490525527343014,-0.0593600286326912,-0.0538741308516047,-0.0684539843415697,-0.0371095612355235,-0.0306748259787909,-0.0582970674787083,-0.0530781329205358,-0.0453708392257826,-0.0496372851291948,-0.0385530293054347,-0.0602455721246844,-0.0587894578508899,-0.0631459463857193,-0.0577374372110579,-0.0470806541578947,-0.0556953456581255,-0.0636009211589604,-0.047287727100131
"2",-0.0469925907261436,-0.0596280975185057,-0.0604887905541807,-0.0581475947507534,-0.0677762964909052,-0.0703442515059383,-0.0501140446484514,-0.0736070514904013,-0.0492366013840751,-0.0599233083848019,-0.0537625739392137,-0.0602304142900165,-0.0548123612305764,-0.0482791366860094,-0.0616996768893174,-0.0644595625615235,-0.0545524527208291,-0.0649339887820165,-0.0465377961930643,-0.0575964091446307,-0.0652987130247473,-0.0599831154221958,-0.0697103408066607,-0.0590830170108402,-0.0777262997941111,-0.0534319803404341,-0.0660919570308168,-0.0657731685092838,-0.0504453646625382,-0.0490501808846081,-0.043712574388229,-0.0604782934183414,-0.0589616537025388,-0.0468961233028638,-0.0586980934791767,-0.0710599878656463,-0.0599695808195907,-0.0661676570107418,-0.071426792306808,-0.0608221887485268
"3",-0.0188878853220839,-0.0604887905541807,-0.0110223404480608,-0.0506168764463558,-0.0272044934492469,-0.0469039446286185,-0.0562060261144784,-0.0510622922208747,-0.0377591483747835,-0.0610045776957914,-0.0645694599118023,-0.0475237077577289,-0.0754968189614223,-0.030221584242521,-0.0617138309783206,-0.0563544347666872,-0.0801455209372864,-0.0396158431757533,-0.0320252389147841,-0.0250741992358624,-0.0280995639506357,-0.0513801336192119,-0.0316841098382951,-0.0877153518556906,-0.0717559081604818,-0.0857207809035044,-0.0471313600637847,-0.0561958371758649,-0.0474029187732305,-0.0257132703120902,-0.0692607840426852,-0.0771580514741134,-0.0113763197316345,-0.0838319132550774,-0.0825040461808283,-0.0507275633075337,-0.0381065873650718,-0.0400194089859209,-0.0759173998703849,-0.0491597937889421
"4",-0.0477400845167222,-0.0581475947507535,-0.0506168764463558,-0.0379978287209231,-0.0409809002140746,-0.0691036122741268,-0.0355658457948017,-0.0660853923786606,-0.0353426539017686,-0.0684192723299265,-0.0487545108724482,-0.0570176955179856,-0.0593361688190636,-0.0522022197241669,-0.080933997313925,-0.0506398429704347,-0.0271737979028161,-0.0652654977702863,-0.0254014839585703,-0.0554098579050483,-0.0658078014251711,-0.0675711880956965,-0.0657888714085814,-0.0546104895321799,-0.0708278493652581,-0.0426023325790337,-0.0587310988109794,-0.0742311004466816,-0.0484101896018786,-0.0438010778896842,-0.0428634056768001,-0.0484672696741225,-0.0416402629821766,-0.0409154135286321,-0.0461474583767478,-0.0732667350787184,-0.0686170889676905,-0.063471371197795,-0.0585777743700261,-0.0598056850294507
"5",-0.0275321837013384,-0.0677762964909052,-0.0272044934492469,-0.0409809002140746,-0.0450091166924047,-0.0653682879125673,-0.0455766426745804,-0.069532789487386,-0.0469888654983018,-0.0618295502284688,-0.0613550017122307,-0.0647760180432163,-0.0728194151129289,-0.0486452209979673,-0.0574959163006789,-0.0522034684526691,-0.0751389794398138,-0.0396064599628212,-0.0334910440527039,-0.0325585199670336,-0.0364344787500598,-0.0600016983008239,-0.0367090680728357,-0.0688495757528968,-0.0658100223425104,-0.0686601214234753,-0.0568272783976463,-0.0582679262827971,-0.0432366244707747,-0.0370828169142607,-0.0585308454422738,-0.0674339694327801,-0.0161576909028509,-0.0682618224385148,-0.0650588035559255,-0.0542360482329779,-0.0473445110786739,-0.0515186030513187,-0.0700672898569744,-0.0612724250661677
"6",-0.0515020956885303,-0.0703442515059384,-0.0469039446286186,-0.0691036122741268,-0.0653682879125674,-0.0758620678787142,-0.0818764707558438,-0.0716815749216419,-0.0775792758899504,-0.0488830949179777,-0.0856896198762485,-0.070495544619925,-0.0709886738073897,-0.072289387542188,-0.0542804906884194,-0.060726206275598,-0.0883672269186573,-0.0650702311220186,-0.0760610610504944,-0.0558582509764738,-0.0530810443554093,-0.0690913777588355,-0.0567959034998401,-0.0697087923388657,-0.0597129453993466,-0.0740058734652612,-0.0529286236635859,-0.0480464904282225,-0.0653749294178475,-0.0665934769063647,-0.0676704496012795,-0.0719505560696034,-0.0597805333192639,-0.0717767413773915,-0.0728067289354673,-0.0601896821253465,-0.0604794912060393,-0.0611476756004073,-0.0672872581835784,-0.0731535340094998
"7",-0.054123653465497,-0.0501140446484515,-0.0562060261144785,-0.0355658457948016,-0.0455766426745805,-0.0818764707558439,-0.035361793811815,-0.0659307410547159,-0.0396885798595789,-0.0603718810030775,-0.0478025438297713,-0.0551334586297547,-0.0507276636219507,-0.0637066439652535,-0.0813965776508719,-0.0583919712521436,-0.0178764318731291,-0.0752298034405111,-0.03159999487659,-0.0669264173165773,-0.0743004093692498,-0.0744230587341574,-0.0803983578860336,-0.0525857451509959,-0.0650065605196845,-0.0309737348590974,-0.0491851863336108,-0.0752824261178918,-0.0555536251310891,-0.0529942303765134,-0.0396315131876056,-0.0470539839372069,-0.0559571631977122,-0.0343135044373083,-0.0399772321460789,-0.0804397360978569,-0.0761245223746264,-0.0695038164264779,-0.0526651553645342,-0.0647491281640538
"8",-0.0478528069007315,-0.0736070514904014,-0.0510622922208748,-0.0660853923786606,-0.0695327894873861,-0.0716815749216419,-0.0659307410547158,-0.0829116424735698,-0.0660107533407087,-0.0615390176228474,-0.0666598132094352,-0.0711970590711192,-0.0670006402547765,-0.0525687183782548,-0.0587554327758365,-0.0610451332134915,-0.083164156857337,-0.0613518806078903,-0.0620811908357145,-0.0423697033558489,-0.0543535102769678,-0.0577765581836638,-0.0593641577199137,-0.05658214969501,-0.0803675006694409,-0.0697687200240216,-0.0633486132274404,-0.0572222391121534,-0.0542699913052109,-0.0544048170842738,-0.0513537437034383,-0.0638589307136726,-0.0573504896675316,-0.062747524260067,-0.0697888167654235,-0.0665278074440732,-0.0532787939530094,-0.070419304470559,-0.0750042627075922,-0.0614405795800214
"9",-0.0394745271422987,-0.0492366013840752,-0.0377591483747836,-0.0353426539017685,-0.0469888654983018,-0.0775792758899504,-0.0396885798595788,-0.0660107533407087,-0.0438390706673405,-0.052661611012414,-0.0544442529752784,-0.0521515631134442,-0.0524911997636128,-0.0611110404406414,-0.0607753938192871,-0.0593701060369296,-0.0435785058491318,-0.0586988237632571,-0.0358552256849468,-0.0542407901046043,-0.0562493174332835,-0.064989587125719,-0.0657117820239927,-0.0607813654421201,-0.0592546539902092,-0.0444141092188721,-0.0447481196301541,-0.0615412717172899,-0.0497499325308651,-0.0447109113359777,-0.0498825333017347,-0.0577170144862869,-0.0387548535884275,-0.0490610291532699,-0.0537272355186668,-0.066217603447901,-0.060230035371241,-0.061405232020015,-0.0612740182758801,-0.0616040639559816
"10",-0.0487383863025094,-0.0599233083848019,-0.0610045776957914,-0.0684192723299265,-0.0618295502284689,-0.0488830949179777,-0.0603718810030774,-0.0615390176228474,-0.0526616110124141,-0.0604401515859742,-0.0525969192644303,-0.0625889589956335,-0.0624777189517627,-0.0400013855463905,-0.065081015179364,-0.0413796209324577,-0.0532560019584327,-0.0615664670673643,-0.0506537990627194,-0.0487899969477545,-0.0542947805192322,-0.0456450328828277,-0.045189923836183,-0.0501965117818396,-0.0722989967164953,-0.0579158019462626,-0.0688192360693958,-0.0532703426710126,-0.045814783485516,-0.0563615445018734,-0.0388991030145247,-0.0465550635938543,-0.0587430051054959,-0.0459810128180747,-0.0559656817378983,-0.0476481908002327,-0.0542980572692974,-0.0519937126537703,-0.06198576356222,-0.0501376972115867
