,time,accuracy,hamming,method,tol,rtol,p,N,l1
block-boyd_tol_5e-06_rtol_5e-06_p_100_N_110_l1_0.05,0.031677116499849944,0.007202783862614766,5122,block-boyd,5e-06,5e-06,100,110,0.05
block-boyd_tol_1e-06_rtol_1e-06_p_100_N_110_l1_0.05,0.04417296349993194,0.001430446973592748,5110,block-boyd,1e-06,1e-06,100,110,0.05
block-boyd_tol_1e-07_rtol_1e-07_p_100_N_110_l1_0.05,0.0649860449998414,0.00014877901132471954,5108,block-boyd,1e-07,1e-07,100,110,0.05
block-boyd_tol_5e-08_rtol_5e-08_p_100_N_110_l1_0.05,0.06650687100000141,7.502171017295923e-05,5108,block-boyd,5e-08,5e-08,100,110,0.05
regain_tol_0.0001_rtol_0.0001_p_100_N_110_l1_0.05,0.030225066499951936,0.002914991644037148,5114,regain,0.0001,0.0001,100,110,0.05
regain_tol_1e-05_rtol_1e-05_p_100_N_110_l1_0.05,0.04766622599981929,0.0003526008823712891,5108,regain,1e-05,1e-05,100,110,0.05
regain_tol_5e-06_rtol_5e-06_p_100_N_110_l1_0.05,0.05095740050001041,0.0001766873878280482,5108,regain,5e-06,5e-06,100,110,0.05
regain_tol_1e-06_rtol_1e-06_p_100_N_110_l1_0.05,0.05699950849975721,3.2075505142249245e-05,5108,regain,1e-06,1e-06,100,110,0.05
single-boyd_tol_5e-06_rtol_5e-06_p_100_N_110_l1_0.05,0.03533473800007414,0.007202783862614766,5122,single-boyd,5e-06,5e-06,100,110,0.05
single-boyd_tol_1e-06_rtol_1e-06_p_100_N_110_l1_0.05,0.04258987249977508,0.001430446973592748,5110,single-boyd,1e-06,1e-06,100,110,0.05
single-boyd_tol_1e-07_rtol_1e-07_p_100_N_110_l1_0.05,0.0620766854995054,0.00014877901132471954,5108,single-boyd,1e-07,1e-07,100,110,0.05
single-boyd_tol_5e-08_rtol_5e-08_p_100_N_110_l1_0.05,0.06503110300036496,7.502171017295923e-05,5108,single-boyd,5e-08,5e-08,100,110,0.05
