,time,accuracy,hamming,iter,method,tol,rtol,p,N,l1
gglasso_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.05,0.5196959075000223,0.009849323739253969,30728,12,gglasso,1e-06,1e-06,500,550,0.05
gglasso_tol_1e-07_rtol_1e-07_p_500_N_550_l1_0.05,0.7929784904999906,0.0011318810079892592,30632,20,gglasso,1e-07,1e-07,500,550,0.05
gglasso_tol_5e-08_rtol_5e-08_p_500_N_550_l1_0.05,0.9948301900000729,0.0005210052832887129,30626,23,gglasso,5e-08,5e-08,500,550,0.05
gglasso_tol_1e-08_rtol_1e-08_p_500_N_550_l1_0.05,1.1102642969999579,0.00012087711666088846,30618,29,gglasso,1e-08,1e-08,500,550,0.05
gglasso-block_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.05,0.5389255829999797,0.009849323739253969,30728,0,gglasso-block,1e-06,1e-06,500,550,0.05
gglasso-block_tol_1e-07_rtol_1e-07_p_500_N_550_l1_0.05,0.8298984285000301,0.0011318810079892592,30632,0,gglasso-block,1e-07,1e-07,500,550,0.05
gglasso-block_tol_5e-08_rtol_5e-08_p_500_N_550_l1_0.05,0.9084193224999808,0.0005210052832887129,30626,0,gglasso-block,5e-08,5e-08,500,550,0.05
gglasso-block_tol_1e-08_rtol_1e-08_p_500_N_550_l1_0.05,1.198602512500031,0.00012087711666088846,30618,0,gglasso-block,1e-08,1e-08,500,550,0.05
regain_tol_0.0001_rtol_0.0001_p_500_N_550_l1_0.05,0.7133160749990566,0.004306811859169383,30690,14,regain,0.0001,0.0001,500,550,0.05
regain_tol_1e-05_rtol_1e-05_p_500_N_550_l1_0.05,1.0316394090014,0.0005210052832885346,30626,22,regain,1e-05,1e-05,500,550,0.05
regain_tol_5e-06_rtol_5e-06_p_500_N_550_l1_0.05,1.154376926999248,0.000246559503439534,30622,25,regain,5e-06,5e-06,500,550,0.05
regain_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.05,1.5703176849992815,3.393641677728631e-05,30614,34,regain,1e-06,1e-06,500,550,0.05
sklearn_tol_0.1_enet_0.0001_p_500_N_550_l1_0.05,0.38259511300020677,0.0004396675784550825,30608,2,sklearn,0.1,0.0001,500,550,0.05
sklearn_tol_0.01_enet_0.0001_p_500_N_550_l1_0.05,0.4914179695006169,3.416817104168783e-05,30610,3,sklearn,0.01,0.0001,500,550,0.05
gglasso_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.1,0.47639612500000794,0.0050818457811398635,1338,11,gglasso,1e-06,1e-06,500,550,0.1
gglasso_tol_1e-07_rtol_1e-07_p_500_N_550_l1_0.1,1.2116064505000281,0.00026534734418896366,1494,26,gglasso,1e-07,1e-07,500,550,0.1
gglasso_tol_5e-08_rtol_5e-08_p_500_N_550_l1_0.1,1.2181398545000093,0.00010448782127745989,1504,32,gglasso,5e-08,5e-08,500,550,0.1
gglasso_tol_1e-08_rtol_1e-08_p_500_N_550_l1_0.1,1.8433243954999625,2.3817430432028862e-05,1508,47,gglasso,1e-08,1e-08,500,550,0.1
gglasso-block_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.1,0.4334728730000279,0.00507169791126212,1340,0,gglasso-block,1e-06,1e-06,500,550,0.1
gglasso-block_tol_1e-07_rtol_1e-07_p_500_N_550_l1_0.1,1.0273267480000072,0.00021841212390807694,1500,0,gglasso-block,1e-07,1e-07,500,550,0.1
gglasso-block_tol_5e-08_rtol_5e-08_p_500_N_550_l1_0.1,1.1596811410000214,9.336613497306324e-05,1508,0,gglasso-block,5e-08,5e-08,500,550,0.1
gglasso-block_tol_1e-08_rtol_1e-08_p_500_N_550_l1_0.1,1.6728369300000168,2.175240121175501e-05,1508,0,gglasso-block,1e-08,1e-08,500,550,0.1
regain_tol_0.0001_rtol_0.0001_p_500_N_550_l1_0.1,0.7200382135006294,0.0014600143125727202,1414,15,regain,0.0001,0.0001,500,550,0.1
regain_tol_1e-05_rtol_1e-05_p_500_N_550_l1_0.1,1.4430325014991467,9.201912176850254e-05,1508,32,regain,1e-05,1e-05,500,550,0.1
regain_tol_5e-06_rtol_5e-06_p_500_N_550_l1_0.1,1.6086141394998776,5.672188251760986e-05,1508,35,regain,5e-06,5e-06,500,550,0.1
regain_tol_1e-06_rtol_1e-06_p_500_N_550_l1_0.1,1.9545029555001747,1.3935283374698008e-05,1512,43,regain,1e-06,1e-06,500,550,0.1
