;time;accuracy;hamming;iter;method;tol;rtol;p;N;l1
block-boyd_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.05;7.170020718127489;0.023320604397142453;17442;0;block-boyd;1e-06;1e-06;1000;1100;0.05
block-boyd_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.05;12.320008996874094;0.0028207982766230797;17926;0;block-boyd;1e-07;1e-07;1000;1100;0.05
block-boyd_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.05;13.964578833431005;0.0016984999984623326;17970;0;block-boyd;5e-08;5e-08;1000;1100;0.05
block-boyd_tol_1e-08_rtol_1e-08_p_1000_N_1100_l1_0.05;22.042805783450603;0.00015957598363666934;18038;0;block-boyd;1e-08;1e-08;1000;1100;0.05
regain_tol_0.0001_rtol_0.0001_p_1000_N_1100_l1_0.05;10.86501506716013;0.0061281711671280275;17834;13;regain;0.0001;0.0001;1000;1100;0.05
regain_tol_1e-05_rtol_1e-05_p_1000_N_1100_l1_0.05;18.46020509302616;0.0004945559048323466;18016;23;regain;1e-05;1e-05;1000;1100;0.05
regain_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.05;21.570133481174707;0.0001977221241775937;18034;27;regain;5e-06;5e-06;1000;1100;0.05
regain_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.05;31.63851923495531;2.563006163084079e-05;18062;40;regain;1e-06;1e-06;1000;1100;0.05
single-boyd_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.05;7.213236667215824;0.023320604397142453;17442;9;single-boyd;1e-06;1e-06;1000;1100;0.05
single-boyd_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.05;11.922639343887568;0.0028207982766230797;17926;17;single-boyd;1e-07;1e-07;1000;1100;0.05
single-boyd_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.05;13.512585941702127;0.0016984999984623326;17970;19;single-boyd;5e-08;5e-08;1000;1100;0.05
single-boyd_tol_1e-08_rtol_1e-08_p_1000_N_1100_l1_0.05;20.42821517214179;0.00015957598363666934;18038;29;single-boyd;1e-08;1e-08;1000;1100;0.05
sklearn_tol_0.1_enet_0.001_p_1000_N_1100_l1_0.05;4.944590928032994;0.00018082057121592327;18042;2;sklearn;0.1;0.001;1000;1100;0.05
sklearn_tol_0.01_enet_0.0001_p_1000_N_1100_l1_0.05;5.1607388546690345;0.0001799762266062716;18042;2;sklearn;0.01;0.0001;1000;1100;0.05
block-boyd_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.1;3.612445779144764;0.005154467382493795;756;0;block-boyd;1e-06;1e-06;1000;1100;0.1
block-boyd_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.1;6.700116120278835;8.56746520838131e-05;908;0;block-boyd;1e-07;1e-07;1000;1100;0.1
block-boyd_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.1;7.935613553971052;3.953668268960246e-05;920;0;block-boyd;5e-08;5e-08;1000;1100;0.1
block-boyd_tol_1e-08_rtol_1e-08_p_1000_N_1100_l1_0.1;11.350536495447159;1.009392064477604e-05;924;0;block-boyd;1e-08;1e-08;1000;1100;0.1
regain_tol_0.0001_rtol_0.0001_p_1000_N_1100_l1_0.1;10.80840740725398;0.002857901942909393;810;13;regain;0.0001;0.0001;1000;1100;0.1
regain_tol_1e-05_rtol_1e-05_p_1000_N_1100_l1_0.1;22.315257906913757;6.101857960970489e-05;916;28;regain;1e-05;1e-05;1000;1100;0.1
regain_tol_5e-06_rtol_5e-06_p_1000_N_1100_l1_0.1;23.82984135299921;4.286255184883016e-05;922;30;regain;5e-06;5e-06;1000;1100;0.1
regain_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.1;30.12494245916605;1.2606998479278099e-05;924;38;regain;1e-06;1e-06;1000;1100;0.1
single-boyd_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.1;5.921903144568205;0.01862795231113051;686;8;single-boyd;1e-06;1e-06;1000;1100;0.1
single-boyd_tol_1e-07_rtol_1e-07_p_1000_N_1100_l1_0.1;13.338181540369987;0.0008917640177333383;860;18;single-boyd;1e-07;1e-07;1000;1100;0.1
single-boyd_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.1;15.360563643276691;0.0002685532242600681;904;23;single-boyd;5e-08;5e-08;1000;1100;0.1
single-boyd_tol_1e-08_rtol_1e-08_p_1000_N_1100_l1_0.1;22.917210161685944;2.941095153440632e-05;922;34;single-boyd;1e-08;1e-08;1000;1100;0.1
sklearn_tol_0.1_enet_0.001_p_1000_N_1100_l1_0.1;4.792659712024033;3.8360691305314844e-05;924;2;sklearn;0.1;0.001;1000;1100;0.1
sklearn_tol_0.01_enet_0.0001_p_1000_N_1100_l1_0.1;8.915158377960324;3.638631225087885e-05;924;2;sklearn;0.01;0.0001;1000;1100;0.1
block-boyd_tol_1e-06_rtol_1e-06_p_1000_N_1100_l1_0.5;0.292633343487978;7.850889177214442e-06;1866;0;block-boyd;1e-06;1e-06;1000;1100;0.5
block-boyd_tol_5e-08_rtol_5e-08_p_1000_N_1100_l1_0.5;0.2967558465898037;4.756698877316662e-07;1866;0;block-boyd;5e-08;5e-08;1000;1100;0.5
