name,time,accuracy,hamming,method,tol,rtol,p,l1,method_str
340block-boyd_tol_1e-06_rtol_1e-07_p_2000_l1_0.05,4.567565980999461,0.02502454497044385,884,340block-boyd,1e-06,1e-07,2000,0.05,block-boyd
340block-boyd_tol_1e-06_rtol_1e-06_p_2000_l1_0.05,4.600149190499906,0.025024544993398793,990,340block-boyd,1e-06,1e-06,2000,0.05,block-boyd
340block-boyd_tol_1e-06_rtol_1e-05_p_2000_l1_0.05,4.875057901999753,0.02502454522293971,990,340block-boyd,1e-06,1e-05,2000,0.05,block-boyd
340block-boyd_tol_1e-07_rtol_1e-07_p_2000_l1_0.05,6.624882767000599,0.002261464198072447,976,340block-boyd,1e-07,1e-07,2000,0.05,block-boyd
340block-boyd_tol_1e-07_rtol_1e-05_p_2000_l1_0.05,6.68835775000025,0.002261464634408736,884,340block-boyd,1e-07,1e-05,2000,0.05,block-boyd
340block-boyd_tol_1e-07_rtol_1e-06_p_2000_l1_0.05,6.984260221000113,0.0022614642366480457,884,340block-boyd,1e-07,1e-06,2000,0.05,block-boyd
340block-boyd_tol_1e-08_rtol_1e-06_p_2000_l1_0.05,9.246340197499194,0.00028718933937564865,976,340block-boyd,1e-08,1e-06,2000,0.05,block-boyd
340block-boyd_tol_1e-08_rtol_1e-07_p_2000_l1_0.05,9.822625654499461,0.00028718930725296724,992,340block-boyd,1e-08,1e-07,2000,0.05,block-boyd
340block-boyd_tol_1e-08_rtol_1e-05_p_2000_l1_0.05,10.416745413000172,0.00028719065974758533,976,340block-boyd,1e-08,1e-05,2000,0.05,block-boyd
962block-boyd_tol_1e-07_rtol_1e-05_p_2000_l1_0.1,1.694304293499954,4.9098741120735296e-06,1164,962block-boyd,1e-07,1e-05,2000,0.1,block-boyd
962block-boyd_tol_1e-08_rtol_1e-05_p_2000_l1_0.1,2.0109905069994056,2.1418260643749346e-06,1164,962block-boyd,1e-08,1e-05,2000,0.1,block-boyd
962block-boyd_tol_1e-07_rtol_1e-07_p_2000_l1_0.1,2.114438908000011,2.7082638079010725e-06,1164,962block-boyd,1e-07,1e-07,2000,0.1,block-boyd
962block-boyd_tol_1e-07_rtol_1e-06_p_2000_l1_0.1,2.306130024500817,2.7538633505382113e-06,1164,962block-boyd,1e-07,1e-06,2000,0.1,block-boyd
962block-boyd_tol_1e-06_rtol_1e-06_p_2000_l1_0.1,2.3711335694997615,3.43714066982019e-05,1164,962block-boyd,1e-06,1e-06,2000,0.1,block-boyd
962block-boyd_tol_1e-06_rtol_1e-07_p_2000_l1_0.1,2.421380257000237,3.434439635475617e-05,1164,962block-boyd,1e-06,1e-07,2000,0.1,block-boyd
962block-boyd_tol_1e-08_rtol_1e-06_p_2000_l1_0.1,2.5270525830001134,3.997705986927069e-07,1164,962block-boyd,1e-08,1e-06,2000,0.1,block-boyd
962block-boyd_tol_1e-08_rtol_1e-07_p_2000_l1_0.1,2.782050523500402,2.4664927121989325e-07,1164,962block-boyd,1e-08,1e-07,2000,0.1,block-boyd
962block-boyd_tol_1e-06_rtol_1e-05_p_2000_l1_0.1,2.8309607970004436,3.472839640976017e-05,1164,962block-boyd,1e-06,1e-05,2000,0.1,block-boyd
140block-boyd_tol_1e-06_rtol_1e-07_p_1000_l1_0.05,1.5347700080001232,0.01560919457553615,14894,140block-boyd,1e-06,1e-07,1000,0.05,block-boyd
140block-boyd_tol_1e-06_rtol_1e-06_p_1000_l1_0.05,1.558914878500218,0.015609194587129883,14830,140block-boyd,1e-06,1e-06,1000,0.05,block-boyd
140block-boyd_tol_1e-06_rtol_1e-05_p_1000_l1_0.05,1.745800249500462,0.015609194758001953,15156,140block-boyd,1e-06,1e-05,1000,0.05,block-boyd
140block-boyd_tol_1e-07_rtol_1e-05_p_1000_l1_0.05,2.437967350500003,0.0015173955236369426,14894,140block-boyd,1e-07,1e-05,1000,0.05,block-boyd
140block-boyd_tol_1e-07_rtol_1e-07_p_1000_l1_0.05,2.6202821400001994,0.0015173952317300585,15122,140block-boyd,1e-07,1e-07,1000,0.05,block-boyd
140block-boyd_tol_1e-07_rtol_1e-06_p_1000_l1_0.05,3.0202062839989594,0.001517395244113294,15020,140block-boyd,1e-07,1e-06,1000,0.05,block-boyd
140block-boyd_tol_1e-08_rtol_1e-05_p_1000_l1_0.05,3.693719942500138,0.0001950868578510461,15134,140block-boyd,1e-08,1e-05,1000,0.05,block-boyd
140block-boyd_tol_1e-08_rtol_1e-07_p_1000_l1_0.05,3.8139523749996442,0.00015939863980358971,15152,140block-boyd,1e-08,1e-07,1000,0.05,block-boyd
140block-boyd_tol_1e-08_rtol_1e-06_p_1000_l1_0.05,3.891423260999545,0.00015939866324042427,15034,140block-boyd,1e-08,1e-06,1000,0.05,block-boyd
572block-boyd_tol_1e-06_rtol_1e-06_p_1000_l1_0.1,0.7953890870003306,0.000224041293224119,580,572block-boyd,1e-06,1e-06,1000,0.1,block-boyd
572block-boyd_tol_1e-06_rtol_1e-05_p_1000_l1_0.1,0.8023979970002983,0.00022422919397285543,688,572block-boyd,1e-06,1e-05,1000,0.1,block-boyd
572block-boyd_tol_1e-07_rtol_1e-05_p_1000_l1_0.1,0.8093341449994114,2.5051622422418e-05,620,572block-boyd,1e-07,1e-05,1000,0.1,block-boyd
572block-boyd_tol_1e-06_rtol_1e-07_p_1000_l1_0.1,0.8299850870007504,0.00022403223978358186,612,572block-boyd,1e-06,1e-07,1000,0.1,block-boyd
572block-boyd_tol_1e-08_rtol_1e-05_p_1000_l1_0.1,0.843366140499711,4.135730170556e-06,684,572block-boyd,1e-08,1e-05,1000,0.1,block-boyd
572block-boyd_tol_1e-07_rtol_1e-06_p_1000_l1_0.1,0.8447538420005003,2.49102979502709e-05,636,572block-boyd,1e-07,1e-06,1000,0.1,block-boyd
572block-boyd_tol_1e-08_rtol_1e-06_p_1000_l1_0.1,0.9981508105001922,1.8905562945124609e-06,646,572block-boyd,1e-08,1e-06,1000,0.1,block-boyd
572block-boyd_tol_1e-08_rtol_1e-07_p_1000_l1_0.1,1.0323604674995295,1.1867839221314126e-06,688,572block-boyd,1e-08,1e-07,1000,0.1,block-boyd
