index,time,split,method,p,N,l1
sklearn_p_100_N_200_l1_0.1,0.08819580078125,"['sklearn', 'p', '100', 'N', '200', 'l1', '0.1']",sklearn,100,200,0.1
regain_p_100_N_200_l1_0.1,0.059908151626586914,"['regain', 'p', '100', 'N', '200', 'l1', '0.1']",regain,100,200,0.1
single-admm_p_100_N_200_l1_0.1,1.221261978149414,"['single-admm', 'p', '100', 'N', '200', 'l1', '0.1']",single-admm,100,200,0.1
block-admm_p_100_N_200_l1_0.1,0.10462379455566406,"['block-admm', 'p', '100', 'N', '200', 'l1', '0.1']",block-admm,100,200,0.1
sklearn_p_500_N_1000_l1_0.1,0.4658999443054199,"['sklearn', 'p', '500', 'N', '1000', 'l1', '0.1']",sklearn,500,1000,0.1
regain_p_500_N_1000_l1_0.1,0.46834611892700195,"['regain', 'p', '500', 'N', '1000', 'l1', '0.1']",regain,500,1000,0.1
single-admm_p_500_N_1000_l1_0.1,1.4053865671157837,"['single-admm', 'p', '500', 'N', '1000', 'l1', '0.1']",single-admm,500,1000,0.1
block-admm_p_500_N_1000_l1_0.1,0.7558319568634033,"['block-admm', 'p', '500', 'N', '1000', 'l1', '0.1']",block-admm,500,1000,0.1
sklearn_p_1000_N_2000_l1_0.1,3.078329086303711,"['sklearn', 'p', '1000', 'N', '2000', 'l1', '0.1']",sklearn,1000,2000,0.1
regain_p_1000_N_2000_l1_0.1,2.6407458782196045,"['regain', 'p', '1000', 'N', '2000', 'l1', '0.1']",regain,1000,2000,0.1
single-admm_p_1000_N_2000_l1_0.1,4.142083088556926,"['single-admm', 'p', '1000', 'N', '2000', 'l1', '0.1']",single-admm,1000,2000,0.1
block-admm_p_1000_N_2000_l1_0.1,0.8498422304789225,"['block-admm', 'p', '1000', 'N', '2000', 'l1', '0.1']",block-admm,1000,2000,0.1
sklearn_p_2500_N_5000_l1_0.1,41.16893792152405,"['sklearn', 'p', '2500', 'N', '5000', 'l1', '0.1']",sklearn,2500,5000,0.1
regain_p_2500_N_5000_l1_0.1,33.329509973526,"['regain', 'p', '2500', 'N', '5000', 'l1', '0.1']",regain,2500,5000,0.1
single-admm_p_2500_N_5000_l1_0.1,31.564326524734497,"['single-admm', 'p', '2500', 'N', '5000', 'l1', '0.1']",single-admm,2500,5000,0.1
block-admm_p_2500_N_5000_l1_0.1,1.1655083894729614,"['block-admm', 'p', '2500', 'N', '5000', 'l1', '0.1']",block-admm,2500,5000,0.1
sklearn_p_5000_N_10000_l1_0.1,276.3418092727661,"['sklearn', 'p', '5000', 'N', '10000', 'l1', '0.1']",sklearn,5000,10000,0.1
regain_p_5000_N_10000_l1_0.1,217.37100219726562,"['regain', 'p', '5000', 'N', '10000', 'l1', '0.1']",regain,5000,10000,0.1
single-admm_p_5000_N_10000_l1_0.1,154.51206502914428,"['single-admm', 'p', '5000', 'N', '10000', 'l1', '0.1']",single-admm,5000,10000,0.1
block-admm_p_5000_N_10000_l1_0.1,1.7768649578094482,"['block-admm', 'p', '5000', 'N', '10000', 'l1', '0.1']",block-admm,5000,10000,0.1
sklearn_p_10000_N_20000_l1_0.1,1545.4831292629242,"['sklearn', 'p', '10000', 'N', '20000', 'l1', '0.1']",sklearn,10000,20000,0.1
regain_p_10000_N_20000_l1_0.1,1360.557220697403,"['regain', 'p', '10000', 'N', '20000', 'l1', '0.1']",regain,10000,20000,0.1
single-admm_p_10000_N_20000_l1_0.1,757.0396083196005,"['single-admm', 'p', '10000', 'N', '20000', 'l1', '0.1']",single-admm,10000,20000,0.1
block-admm_p_10000_N_20000_l1_0.1,3.0645907719930015,"['block-admm', 'p', '10000', 'N', '20000', 'l1', '0.1']",block-admm,10000,20000,0.1
sklearn_p_100_N_200_l1_0.0032,0.08145689964294434,"['sklearn', 'p', '100', 'N', '200', 'l1', '0.0032']",sklearn,100,200,0.0032
regain_p_100_N_200_l1_0.0032,0.15663981437683105,"['regain', 'p', '100', 'N', '200', 'l1', '0.0032']",regain,100,200,0.0032
single-admm_p_100_N_200_l1_0.0032,649.0352945327759,"['single-admm', 'p', '100', 'N', '200', 'l1', '0.0032']",single-admm,100,200,0.0032
block-admm_p_100_N_200_l1_0.0032,2.7454765183585033,"['block-admm', 'p', '100', 'N', '200', 'l1', '0.0032']",block-admm,100,200,0.0032
sklearn_p_500_N_1000_l1_0.0032,1.912060022354126,"['sklearn', 'p', '500', 'N', '1000', 'l1', '0.0032']",sklearn,500,1000,0.0032
regain_p_500_N_1000_l1_0.0032,0.9646389484405518,"['regain', 'p', '500', 'N', '1000', 'l1', '0.0032']",regain,500,1000,0.0032
single-admm_p_500_N_1000_l1_0.0032,568.6768429875374,"['single-admm', 'p', '500', 'N', '1000', 'l1', '0.0032']",single-admm,500,1000,0.0032
block-admm_p_500_N_1000_l1_0.0032,3.141981840133667,"['block-admm', 'p', '500', 'N', '1000', 'l1', '0.0032']",block-admm,500,1000,0.0032
sklearn_p_1000_N_2000_l1_0.0032,26.01877498626709,"['sklearn', 'p', '1000', 'N', '2000', 'l1', '0.0032']",sklearn,1000,2000,0.0032
regain_p_1000_N_2000_l1_0.0032,4.334488153457642,"['regain', 'p', '1000', 'N', '2000', 'l1', '0.0032']",regain,1000,2000,0.0032
single-admm_p_1000_N_2000_l1_0.0032,508.0278811984592,"['single-admm', 'p', '1000', 'N', '2000', 'l1', '0.0032']",single-admm,1000,2000,0.0032
block-admm_p_1000_N_2000_l1_0.0032,5.4450333913167315,"['block-admm', 'p', '1000', 'N', '2000', 'l1', '0.0032']",block-admm,1000,2000,0.0032
sklearn_p_2500_N_5000_l1_0.0032,501.3685119152069,"['sklearn', 'p', '2500', 'N', '5000', 'l1', '0.0032']",sklearn,2500,5000,0.0032
regain_p_2500_N_5000_l1_0.0032,54.45723581314087,"['regain', 'p', '2500', 'N', '5000', 'l1', '0.0032']",regain,2500,5000,0.0032
single-admm_p_2500_N_5000_l1_0.0032,472.8928624868393,"['single-admm', 'p', '2500', 'N', '5000', 'l1', '0.0032']",single-admm,2500,5000,0.0032
