"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
0.665320723901242,0,-0.0618749161374916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0524151218978517,0,0,0.0314232885362398,0,0,0,0,0,0,0,0,0,0.0029827931363549,0.00044366756069193,0,0,0,0.0238340672029375,0
0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0618754610121612,0,0.693505331317157,-0.0449022553535588,-0.0678494131624666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241159293318676,0,0,0.0614942250753225,0,0,0,0,0,0,0.0543914796811715,0,0,0.0208537103909487,0.0472356548069027,0,0,0,0.0382865681986145,0
0,0,-0.0449022088294759,0.65386110844608,0,0,0,0,-0.00686064604261466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.0678493262923621,0,0.662682586716977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277649895933976,0,0,0,0,0,0,0.0283312485813821,0,0,0.0142539001807035,0.00703743916529284,0,0,0,0.00281222352389461,0
0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.00686064607000228,0,0,0,0,0.65077721867673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.653220617846274,0,0,0,0,0,0,0,0,0,0,0,-0.040537931643127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654120139084424,0,0,0,0,0,0,-0.0217770926203993,0,-0.033209266784185,0,0,0,0,0,0,0,-0.0156177056102457,-0.0115326929787206,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0524150902778646,0,-0.0241159415612285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656607325761073,0,0,0.00027757908148963,0,0,0,0,0,0,0,0,0,0.0119622787011162,0,0,0,0,0.00428553127676338,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650704892137369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0314231973376021,0,0.0614946974518136,0,0.0277651526015428,0,0,0,0,0,0,0,0,0,0,0,-0.0217772124613506,0,0,0,0.000277606826056084,0,0,0.709631728491899,0,-0.0141344697205049,0,0,0,0,-0.00419332443192049,0,0,-0.0572012278868326,-0.0954215630445857,0,0,0,-0.106536349506178,0
0,0,0,0,0,0,0,0,0,0,0,0,-0.040537931643127,0,0,0,0,0,0,0,0,0,0,0,0.653220617846274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0332092495031595,0,0,0,0,0,0,-0.0141344557607707,0,0.653745094858644,0,0,0,0,0,0,0,0,-0.0185176689858103,0,0,0,-0.00768173629975154,0
