"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",1.70654813161575,0,0.0145415617744448,0.000383889419043519,0.000855608119250846,0,0,0,0,0,0,0,0,0,0,-9.2182947932319e-14,-0.00235682764786302,0,0,0,0.0307244593567165,0,0,-0.0318567411004977,-2.96379103256215e-15,-0.00282475403560942,0,0,0,0,0,-3.84695085632969e-06,0,-0.00320831244457843,-0.0244637033026308,0,0,0,-0.00179122273095067,0
"2",0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.0145415617744448,0,1.70654813161575,0.0450519539082168,0.100411252928061,0,0,0,0,0,0,0,0,0,0,-2.87753464413285e-13,-0.00893551888216276,0,0,0,0.000261804291039305,0,0,-0.119471612087295,-9.25161493037677e-15,-0.0255488021386696,0,0,0,0,0,-2.85534170037159e-05,0,-0.0178322354367348,-0.0874806556273757,0,0,0,-0.0132950824875744,0
"4",0.000383889419043519,0,0.0450519539082168,1.70654813161575,0.00265080313585897,0,0,0,0,0,0,0,0,0,0,-7.59653687786871e-15,-0.000235892898282366,0,0,0,6.91149264082511e-06,0,0,-0.0031539863783397,-2.44237664146792e-16,-0.00067447465151288,0,0,0,0,0,-7.53794869855534e-07,0,-0.000470761435961149,-0.00230944231350429,0,0,0,-0.000350983035485228,0
"5",0.000855608119250846,0,0.100411252928061,0.00265080313585897,1.70654813161575,0,0,0,0,0,0,0,0,0,0,-1.69310700125239e-14,-0.000525755254069991,0,0,0,1.54042516575901e-05,0,0,-0.00702956689985795,-5.44353967847097e-16,-0.0015032609898474,0,0,0,0,0,-1.68004893832439e-06,0,-0.00104922742554903,-0.0051472572474099,0,0,0,-0.000782266767416232,0
"6",0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",-9.2182947932319e-14,0,-2.87753464413285e-13,-7.59653687786871e-15,-1.69310700125239e-14,0,0,0,0,0,0,0,0,0,0,1.70654813161575,2.30449534415281e-13,0,0,0,-1.65964919749862e-15,0,0,2.33292034538306e-13,0.0548675450565105,5.91139096351001e-14,0,0,0,0,0,3.45211794065284e-16,0,6.56922609061667e-14,5.62927094577537e-14,0,0,0,1.07092543284422e-14,0
"17",-0.00235682764786302,0,-0.00893551888216276,-0.000235892898282366,-0.000525755254069991,0,0,0,0,0,0,0,0,0,0,2.30449534415281e-13,1.70654813161575,0,0,0,-4.24320029045963e-05,0,0,0.0845827958350922,7.40922566350988e-15,0.00763765875873847,0,0,0,0,0,1.04524744814425e-05,0,0.0806191138652507,0.0723223714318553,0,0,0,0.00486689663995061,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0.0307244593567165,0,0.000261804291039305,6.91149264082511e-06,1.54042516575901e-05,0,0,0,0,0,0,0,0,0,0,-1.65964919749862e-15,-4.24320029045963e-05,0,0,0,1.70654813161575,0,0,-0.000573544413454648,-5.33596887393622e-17,-5.08564856460456e-05,0,0,0,0,0,-6.92599775200482e-08,0,-5.77620188267228e-05,-0.000440441171222524,0,0,0,-3.22489292721057e-05,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70654813161575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",-0.0318567411004977,0,-0.119471612087295,-0.0031539863783397,-0.00702956689985795,0,0,0,0,0,0,0,0,0,0,2.33292034538306e-13,0.0845827958350922,0,0,0,-0.000573544413454648,0,0,1.70654813161575,7.50061541143662e-15,0.0830373129865354,0,0,0,0,0,0.00012495295595427,0,0.109337798866129,0.193788478832122,0,0,0,0.0581807726653266,0
"25",-2.96379103256215e-15,0,-9.25161493037677e-15,-2.44237664146792e-16,-5.44353967847097e-16,0,0,0,0,0,0,0,0,0,0,0.0548675450565105,7.40922566350988e-15,0,0,0,-5.33596887393622e-17,0,0,7.50061541143662e-15,1.70654813161575,1.90058225741308e-15,0,0,0,0,0,1.10989683291163e-17,0,2.11208404753315e-15,1.8098773279849e-15,0,0,0,3.44315219419626e-16,0
