"","4468234","4436552","4481131","4457438","4402903","4448331","2829179","4306262","4480861","4476877","4365130","4347159","505670","841635","1071450","4446058","4425214","165118","4481613","4402605","4453609","175844","325850","952003","1000986","4477696","359872","710275","128300","4409730","4387092","4420570","4446320","12574","1696853","1117593","4428714","290455","4396235","177679"
"10317.000046445.48089",13288,52,11430,5616,2648,978,1282,12364,154,304,792,592,16,20,144,0,28,4,422,180,1408,166,0,0,0,0,228,2,14,230,0,0,182,0,0,106,2118,0,0,0
"10317.000046431.48089",2180,62,4948,1782,878,204,66,6412,64,8,192,116,130,16,6,2,16,0,28,34,592,40,0,0,0,0,2,0,148,154,0,0,82,14,0,0,834,0,0,0
"10317.000108535.83325",5362,2,9180,4674,3856,1060,774,142,104,4,1106,42,0,322,16,0,0,0,72,138,1274,720,280,0,0,0,200,0,2,520,0,2,26,0,0,0,128,10,0,30
"10317.000049242.50265",2,10798,14,260,14,8,15902,2,44,0,70,6,0,0,156,104,7092,86,266,0,0,0,0,4314,0,3654,0,4,2,8,1538,30,0,3508,1960,2,0,0,2572,0
"10317.000010411.48068",17886,1612,8700,10686,718,4,1138,2,302,24,6518,2070,6256,1758,0,92,72,0,24,0,1202,0,0,8,98,28,0,8,80,194,4,0,446,56,6,2,0,0,4,0
"10317.000109836.71225",27270,6150,25424,18668,3032,398,320,22,154,2,1110,6,2,374,10,0,892,1204,182,32,1154,0,0,6,0,152,0,0,12,444,4,0,416,12,4,0,0,2,0,4
"10317.000079061.74740",4914,442,10206,7784,3186,88,222,6,272,0,2432,2646,960,0,4,16,148,210,128,4,380,28,2,0,68,114,0,4,10,194,0,0,22,22,14,2,0,0,4,966
"10317.000033354.48001",8306,4,9562,3428,3928,19890,690,0,116,52,596,178,2,238,4,0,110,0,44,64,614,200,50,0,30,36,26,2,14,324,2,0,252,0,2,4,694,0,0,1972
"10317.000068129.48085",20200,74,9616,12666,1084,1232,304,8,446,102,384,136,20,830,2,0,44,12,46,10,792,4,4,2,2,0,0,0,16,292,0,0,40,0,0,0,2,0,0,2
"10317.000089379.56194",20594,60,9848,10016,5586,878,424,6,142,0,358,320,4,196,18,0,20,2,12,14,490,194,8,0,6,2,24,0,0,78,0,0,16,2,0,0,6,0,0,0
"10317.000023730.48064",22,98,28,1808,12,38,4656,0,70,0,316,0,18,0,54,126,10732,0,26,0,0,0,0,15352,0,762,0,6,2,0,4,0,0,800,548,8,0,0,5558,0
